ID,fq6,fq14_ch_age,fq14_3,f_sep,ss_all,asbi_express,asbi_comply,asbi_disrupt,ch_ST_recs,ch_PA_recs,fq16_st_wk_trunc_hrs,fq16_tv_hrs,fq16_comp_hrs,fq18_avg_out_hrs
30312,Female,2.069815,No,3,73,34,23,10,1,0,1,0,1,2.285714
30632,Male,2.814511,No,3,78,37,25,10,0,1,2.928571,2.285714,0.6428572,4.714286
30272,Female,5.357974,No,2,70,31,25,12,0,1,3.285714,2.285714,1,4.5
30501,Female,3.578371,No,3,83,38,29,10,0,1,2.642857,2.642857,0,3.428571
30264,Female,3.5154,No,3,79,38,24,9,1,0,0.6428572,0,0.6428572,2
30456,Male,5.549623,No,3,72,38,23,15,0,1,1.428571,1.071429,0.3571429,4.571428
30601,Male,4.856947,No,3,78,36,27,11,0,1,4,4,0,5.285714
30770,Female,4.40794,No,3,82,39,26,9,0,0,1.928571,1.285714,0.6428572,2.5
30263,Female,4.301164,No,3,64,32,18,12,0,0,3.642857,2.642857,1,1
30594,Female,4.032854,No,3,83,37,29,9,0,0,1.142857,1.142857,0,2.285714
30598,Female,4.692676,No,3,81,37,29,15,0,0,2.071429,1.928571,0.1428571,1.785714
30335,Male,3.874059,No,3,67,29,23,13,0,0,2,2,0,1.785714
30874,Male,4.317591,Yes,3,59,27,17,13,0,0,1.785714,1.785714,0,2.714286
30605,Male,3.956194,No,3,77,38,23,10,0,0,4,2,2,2.571429
30308,Male,3.816564,Yes,3,78,37,25,10,0,1,1.785714,1.285714,0.5,4.571428
30824,Male,3.496235,No,3,85,39,29,9,1,1,0.6428572,0.6428572,0,4.214286
30767,Female,4.889802,Yes,3,67,33,21,13,0,0,2.642857,1.642857,1,2
30934,Male,3.041752,No,3,74,39,20,13,0,1,2,2,0,3.928571
30206,Female,2.861054,No,2,69,35,21,15,0,0,1.142857,1,0.1428571,2.928571
30565,Male,5.297741,No,3,68,28,24,10,0,0,2.571429,1,1.571429,1.785714
30089,Male,2.360027,Yes,3,70,33,22,11,0,1,1.214286,1.214286,0,7.714286
30559,Female,4.5859,No,2,77,38,24,11,0,0,1.928571,1.428571,0.5,0.6428572
300038,Male,3.27447,No,3,67,32,21,14,0,0,3,2.5,0.5,2.642857
30778,Female,2.521561,No,3,80,36,27,9,1,0,1,1,0,2.285714
30155,Male,4.435318,No,3,77,36,28,13,0,0,1.142857,1.142857,0,2
30202,Female,4.435318,No,3,70,31,23,10,1,0,0.7857143,0.7857143,0,1.142857
30604,Female,2.214921,No,3,77,36,25,10,1,0,1,1,0,1
30552,Male,3.200547,Yes,3,62,24,21,9,0,0,1.142857,0.5,0.6428572,0.5
300055,Female,2.59822,No,3,83,38,28,9,1,0,1,0.5,0.5,1
30722,Male,3.173169,No,3,69,32,22,11,0,0,8,4,4,1.714286
30059,Female,5.125257,No,3,84,37,29,8,1,1,0.6428572,0.6428572,0,3.571429
30832,Female,2.702259,No,3,77,33,27,9,1,0,0.8571428,0.8571428,0,1.5
30286,Female,5.158111,Yes,3,84,39,29,10,0,0,1.428571,1.285714,0.1428571,1.5
30173,Female,4.251882,No,2,73,34,23,12,0,0,3.428571,3.285714,0.1428571,2.142857
30378,Female,4.287474,No,3,77,36,26,11,1,1,1,1,0,4.571428
30647,Male,4.772074,No,3,78,37,27,12,0,0,3.285714,2,1.285714,1
30793,Male,2.225873,No,2,72,36,19,11,0,0,2.285714,1.642857,0.6428572,1.785714
30458,Female,2.71321,No,2,61,29,17,11,0,1,5.857142,4.142857,1.714286,5.285714
30908,Female,4.005476,No,3,81,36,29,10,0,0,2.5,2.5,0,1
30178,Female,2.455852,No,3,76,37,24,11,1,1,0,0,0,3
30576,Female,3.734428,No,3,81,39,28,12,1,0,0.5,0.3571429,0.1428571,1.642857
30947,Male,4.52293,No,2,81,38,29,12,0,1,3.142857,3,0.1428571,3.428571
30652,Female,4.887064,No,2,70,30,26,12,0,1,2.785714,2.285714,0.5,4.571428
30473,Male,3.96167,No,3,73,34,23,10,1,0,1,0.5,0.5,2.285714
30732,Male,4.971937,No,2,78,37,25,10,1,1,0.6428572,0.6428572,0,4.142857
